Epoch, Step, Loss, Lr, Time
8, 1801, 3.7888, 0.001000, 896.03
8, 1901, 3.6023, 0.001000, 944.64
8, 2001, 3.7282, 0.000999, 995.91
8, 2101, 3.5135, 0.000999, 1043.87
8, 2201, 3.7448, 0.000999, 1093.75
8, 2301, 3.6826, 0.000999, 1142.85
8, 2401, 3.5288, 0.000999, 1192.70
8, 2501, 3.8471, 0.000999, 1243.52
9, 1, 3.5666, 0.000999, 5.35
9, 101, 3.4985, 0.000999, 55.08
9, 201, 3.6828, 0.000999, 105.59
9, 301, 3.4167, 0.000999, 153.68
9, 401, 3.5191, 0.000999, 202.56
9, 501, 3.4484, 0.000999, 251.16
9, 601, 3.7154, 0.000999, 301.15
9, 701, 3.4662, 0.000999, 350.74
9, 801, 3.4395, 0.000999, 401.14
9, 901, 3.4934, 0.000999, 450.88
9, 1001, 3.3523, 0.000999, 501.45
9, 1101, 3.6488, 0.000999, 549.58
9, 1201, 3.4435, 0.000999, 599.90
9, 1301, 3.5645, 0.000999, 649.68
9, 1401, 3.2526, 0.000999, 699.80
9, 1501, 3.6400, 0.000999, 749.51
9, 1601, 3.6433, 0.000999, 799.10
9, 1701, 3.5640, 0.000999, 848.07
9, 1801, 3.4471, 0.000999, 898.27
9, 1901, 3.5669, 0.000999, 947.14
9, 2001, 3.3563, 0.000999, 999.48
9, 2101, 3.2276, 0.000999, 1048.60
9, 2201, 3.3957, 0.000999, 1100.17
9, 2301, 3.4022, 0.000999, 1150.36
9, 2401, 3.5029, 0.000999, 1204.00
9, 2501, 3.4002, 0.000999, 1251.09
10, 1, 3.4695, 0.000999, 5.12
10, 101, 3.5294, 0.000999, 54.72
10, 201, 3.5170, 0.000999, 103.42
10, 301, 3.4411, 0.000999, 152.56
10, 401, 3.3543, 0.000999, 201.94
10, 501, 3.3668, 0.000999, 251.25
10, 601, 3.3279, 0.000999, 300.80
10, 701, 3.5680, 0.000999, 350.46
10, 801, 3.4128, 0.000999, 399.77
10, 901, 3.4442, 0.000999, 447.15
10, 1001, 3.2801, 0.000999, 497.52
10, 1101, 3.4468, 0.000999, 546.12
10, 1201, 3.3245, 0.000999, 596.37
10, 1301, 3.4533, 0.000999, 644.67
10, 1401, 3.3102, 0.000999, 695.41
10, 1501, 3.5702, 0.000999, 744.88
10, 1601, 3.5787, 0.000999, 794.28
10, 1701, 3.4273, 0.000999, 842.89
10, 1801, 3.2573, 0.000999, 892.05
10, 1901, 3.2789, 0.000999, 941.71
10, 2001, 3.3814, 0.000999, 991.26
10, 2101, 3.2407, 0.000998, 1040.56
10, 2201, 3.3162, 0.000998, 1091.64
10, 2301, 3.2582, 0.000998, 1138.72
